Compared to the qos2+0, we see that all messages are received, 
in order, with no delays.


batch:msg=[002093:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:58:58 +0000
batch:msg=[002094:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:04]-local/dev-4-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:05]-local/dev-5-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:06]-local/dev-6-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:07]-local/dev-7-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:08]-local/dev-8-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:09]-local/dev-9-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:10]-local/dev-10-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:11]-local/dev-11-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:13]-local/dev-13-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:14]-local/dev-14-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002094:15]-local/dev-15-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002095:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:02]-local/dev-2-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:03]-local/dev-3-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:04]-local/dev-4-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:05]-local/dev-5-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:06]-local/dev-6-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:07]-local/dev-7-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:08]-local/dev-8-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:09]-local/dev-9-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:10]-local/dev-10-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:11]-local/dev-11-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:13]-local/dev-13-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:14]-local/dev-14-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002096:15]-local/dev-15-Published: Mon, 03 Dec 2012 16:58:59 +0000
batch:msg=[002097:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:58:59 +0000
