Again, no actual problems here, this is just for completeness.


# Overhead   Command           Shared Object                               Symbol
# ........  ........  ......................  ...................................
#
     2.78%  simplemq  libpthread-0.9.33.2.so  [.] pthread_mutex_lock
     2.52%  simplemq  libuClibc-0.9.33.2.so   [.] _ppfs_parsespec
     2.09%  simplemq  [kernel]                [k] do_select
     1.99%  simplemq  [nf_conntrack]          [k] 0x6b24  
     1.88%  simplemq  [kernel]                [k] tcp_sendmsg
     1.61%  simplemq  [kernel]                [k] tcp_recvmsg
     1.60%  simplemq  libuClibc-0.9.33.2.so   [.] malloc
     1.60%  simplemq  [kernel]                [k] finish_task_switch.constprop.58
     1.57%  simplemq  libpthread-0.9.33.2.so  [.] __pthread_mutex_unlock_usercnt
     1.50%  simplemq  [kernel]                [k] handle_sys
     1.46%  simplemq  [ip_tables]             [k] 0x2b4   
     1.36%  simplemq  libuClibc-0.9.33.2.so   [.] free
     1.25%  simplemq  [kernel]                [k] fsnotify
     1.19%  simplemq  libuClibc-0.9.33.2.so   [.] _vfprintf_internal
     1.19%  simplemq  [kernel]                [k] tcp_ack
     1.15%  simplemq  libuClibc-0.9.33.2.so   [.] __libc_disable_asynccancel
     1.14%  simplemq  [kernel]                [k] tcp_write_xmit
     1.01%  simplemq  libmosquitto.so.1       [.] _mosquitto_packet_write
     0.93%  simplemq  [kernel]                [k] tcp_transmit_skb
     0.91%  simplemq  [kernel]                [k] sock_aio_read
     0.90%  simplemq  [kernel]                [k] hrtimer_try_to_cancel
     0.87%  simplemq  [kernel]                [k] fput
     0.87%  simplemq  [kernel]                [k] memcpy
     0.83%  simplemq  libmosquitto.so.1       [.] _mosquitto_packet_alloc
     0.83%  simplemq  [kernel]                [k] release_sock
     0.78%  simplemq  [kernel]                [k] fget_light
     0.77%  simplemq  libmosquitto.so.1       [.] _mosquitto_packet_read
     0.77%  simplemq  [kernel]                [k] vfs_read
     0.74%  simplemq  libuClibc-0.9.33.2.so   [.] _ppfs_init
     0.74%  simplemq  [kernel]                [k] do_sync_read
     0.74%  simplemq  [kernel]                [k] nf_iterate
     0.71%  simplemq  [kernel]                [k] __wake_up_sync_key
