Notes: perfectly expected behaviour.
* messages are in order within the qos band, even if slightly shuffled compared
  to original publish order.  (totally correct behaviour)
* all messages are received!
* cpu usage stays low, and doesn't increase over time on either broker or client


batch:msg=[004924:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004925:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004924:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:35 +0000
batch:msg=[004926:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:36 +0000
batch:msg=[004926:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:36 +0000
batch:msg=[004926:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:36 +0000
batch:msg=[004926:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:36 +0000
