Output from mosquitto_sub -t "#" -h test.server.ip

Things to note:
* local/dev-2,3,4,5,6,7,8,9,10,15 are almost never seen.
* despite publishing 15:1 more local than power messages, we see more like 1:3
* We see some very very old messages.  power/ messages were close enough to real
  time, local/ messages were slowly falling behind, with occasioanal very old
  packets coming through. (marked XX)
* every single qos0 packet is received, most of the qos2 packets are missing.
  (the batch number should increment by two for each power message)

batch:msg=[006135:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:20 +0000
batch:msg=[005412:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:29:44 +0000
batch:msg=[006137:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:21 +0000
batch:msg=[006139:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:21 +0000
batch:msg=[006141:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:22 +0000
batch:msg=[005420:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:29:47 +0000
batch:msg=[006143:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:22 +0000
batch:msg=[006145:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:23 +0000
batch:msg=[006147:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:24 +0000
batch:msg=[000254:12]-local/dev-12-Published: Mon, 03 Dec 2012 16:09:43 +0000
batch:msg=[006149:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:24 +0000
batch:msg=[006151:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:25 +0000
batch:msg=[000266:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:09:46 +0000
batch:msg=[006153:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:25 +0000
batch:msg=[006155:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:26 +0000
batch:msg=[006157:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:27 +0000
batch:msg=[006159:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:27 +0000
XX batch:msg=[000278:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:09:48 +0000
batch:msg=[006161:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:28 +0000
batch:msg=[006163:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:28 +0000
batch:msg=[005442:01]-local/dev-1-Published: Mon, 03 Dec 2012 16:29:53 +0000
batch:msg=[006165:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 16:33:29 +0000
